timestamp,signal,ml_probability,multiplier,strike_distance_pct,recent_move_pct,time_remaining_sec,futures_trend,spread_pct,veto_reason
2026-06-14T21:50:03.700358+00:00,ENTER_NO,0.3987,1.0298,0.003,0.001023,597,1,0.027,ml_low_confidence:0.3987
2026-06-14T21:50:03.702467+00:00,ENTER_NO,0.3987,1.033,0.0033,0.002564,597,1,0.0131,ml_low_confidence:0.3987
2026-06-14T21:50:03.703960+00:00,ENTER_NO,0.3987,1.0376,0.0038,0.002256,597,1,0.0488,ml_low_confidence:0.3987
2026-06-14T21:50:04.699469+00:00,ENTER_NO,0.3987,1.0421,0.0042,0.002707,596,1,0.0241,ml_low_confidence:0.3987
2026-06-14T21:50:04.701359+00:00,ENTER_NO,0.3987,1.0344,0.0034,0.002707,596,1,0.0256,ml_low_confidence:0.3987
2026-06-14T21:50:05.701533+00:00,ENTER_NO,0.3987,1.0311,0.0031,0.001153,595,1,0.027,ml_low_confidence:0.3987
2026-06-14T21:50:05.878084+00:00,ENTER_NO,0.3987,1.0387,0.0039,0.003134,595,1,0.0121,ml_low_confidence:0.3987
2026-06-14T21:50:05.882257+00:00,ENTER_NO,0.3987,1.0421,0.0042,0.002707,595,1,0.0238,ml_low_confidence:0.3987
2026-06-14T21:50:06.699643+00:00,ENTER_NO,0.3987,1.0311,0.0031,0.001153,594,1,0.0408,ml_low_confidence:0.3987
2026-06-14T21:50:06.701504+00:00,ENTER_NO,0.3987,1.033,0.0033,0.002564,594,1,0.0121,ml_low_confidence:0.3987
2026-06-14T21:50:06.703103+00:00,ENTER_NO,0.3987,1.0376,0.0038,0.002256,594,1,0.012,ml_low_confidence:0.3987
2026-06-14T21:50:07.699662+00:00,ENTER_NO,0.3987,1.0311,0.0031,0.001153,593,1,0.027,ml_low_confidence:0.3987
2026-06-14T21:50:07.701409+00:00,ENTER_NO,0.3987,1.0373,0.0037,0.002992,593,1,0.0121,ml_low_confidence:0.3987
2026-06-14T21:50:08.699905+00:00,ENTER_NO,0.3987,1.0401,0.004,0.003277,592,1,0.0121,ml_low_confidence:0.3987
2026-06-14T21:50:08.701740+00:00,ENTER_NO,0.3987,1.041,0.0041,0.002594,592,1,0.0471,ml_low_confidence:0.3987
2026-06-14T21:50:08.703179+00:00,ENTER_NO,0.3987,1.0311,0.0031,0.001153,592,1,0.027,ml_low_confidence:0.3987
2026-06-14T21:50:09.700577+00:00,ENTER_NO,0.4539,1.0355,0.0035,0.001591,591,1,0.1118,ml_low_confidence:0.4539
2026-06-14T21:50:09.703357+00:00,ENTER_NO,0.4539,1.041,0.0041,0.002594,591,1,0.0471,ml_low_confidence:0.4539
2026-06-14T21:50:09.704799+00:00,ENTER_NO,0.4539,1.0387,0.0039,0.003134,591,1,0.0368,ml_low_confidence:0.4539
2026-06-14T21:50:10.701264+00:00,ENTER_NO,0.4539,1.0421,0.0042,0.002707,590,1,0.0585,ml_low_confidence:0.4539
2026-06-14T21:50:10.703198+00:00,ENTER_NO,0.4539,1.0415,0.0042,0.003419,590,1,0.0238,ml_low_confidence:0.4539
2026-06-14T21:50:10.708999+00:00,ENTER_NO,0.4539,1.0356,0.0036,0.001608,590,1,0.0482,ml_low_confidence:0.4539
2026-06-14T21:50:11.700447+00:00,ENTER_NO,0.4539,1.0373,0.0037,0.00177,589,1,0.1078,ml_low_confidence:0.4539
2026-06-14T21:50:11.705830+00:00,ENTER_NO,0.4539,1.0444,0.0044,0.002933,589,1,0.0585,ml_low_confidence:0.4539
2026-06-14T21:50:11.978557+00:00,ENTER_NO,0.4539,1.0401,0.004,0.003277,589,1,0.0123,ml_low_confidence:0.4539
2026-06-14T21:50:12.700481+00:00,ENTER_NO,0.4539,1.0433,0.0043,0.00282,588,1,0.0465,ml_low_confidence:0.4539
2026-06-14T21:50:12.702163+00:00,ENTER_NO,0.4539,1.0387,0.0039,0.003134,588,1,0.0247,ml_low_confidence:0.4539
2026-06-14T21:50:12.703574+00:00,ENTER_NO,0.4539,1.0376,0.0038,0.001803,588,1,0.1078,ml_low_confidence:0.4539
2026-06-14T21:50:13.699471+00:00,ENTER_NO,0.4539,1.0377,0.0038,0.001819,587,1,0.1078,ml_low_confidence:0.4539
2026-06-14T21:50:13.702393+00:00,ENTER_NO,0.4539,1.0433,0.0043,0.00282,587,1,0.0465,ml_low_confidence:0.4539
2026-06-14T21:50:13.704422+00:00,ENTER_NO,0.4539,1.0415,0.0042,0.003419,587,1,0.0359,ml_low_confidence:0.4539
2026-06-14T21:50:14.699892+00:00,ENTER_NO,0.4547,1.0399,0.004,0.002482,586,1,0.0599,ml_low_confidence:0.4547
2026-06-14T21:50:14.701552+00:00,ENTER_NO,0.4547,1.0384,0.0038,0.001884,586,1,0.1078,ml_low_confidence:0.4547
2026-06-14T21:50:14.703285+00:00,ENTER_NO,0.4547,1.0387,0.0039,0.003134,586,1,0.0359,ml_low_confidence:0.4547
2026-06-14T21:50:15.700721+00:00,ENTER_NO,0.4547,1.0376,0.0038,0.002256,585,1,0.0117,ml_low_confidence:0.4547
2026-06-14T21:50:15.702594+00:00,ENTER_NO,0.4547,1.0374,0.0037,0.001786,585,1,0.1205,ml_low_confidence:0.4547
2026-06-14T21:50:15.704152+00:00,ENTER_NO,0.4547,1.0373,0.0037,0.002992,585,1,0.0121,ml_low_confidence:0.4547
2026-06-14T21:50:15.705976+00:00,ENTER_NO,0.4547,1.0695,0.0069,0.004999,585,1,0.0053,ml_low_confidence:0.4547
2026-06-14T21:50:16.701860+00:00,ENTER_NO,0.4547,1.0366,0.0037,0.001705,584,1,0.1205,ml_low_confidence:0.4547
2026-06-14T21:50:16.704508+00:00,ENTER_NO,0.4547,1.0376,0.0038,0.002256,584,1,0.0117,ml_low_confidence:0.4547
2026-06-14T21:50:16.708907+00:00,ENTER_NO,0.4547,1.0344,0.0034,0.002707,584,1,0.0121,ml_low_confidence:0.4547
2026-06-14T21:50:16.997069+00:00,ENTER_NO,0.4547,1.0647,0.0065,0.004516,584,1,0.0097,ml_low_confidence:0.4547
2026-06-14T21:50:17.699623+00:00,ENTER_NO,0.4684,1.0358,0.0036,0.001624,583,1,0.1205,ml_low_confidence:0.4684
2026-06-14T21:50:17.702480+00:00,ENTER_NO,0.4684,1.0629,0.0063,0.004335,583,1,0.0011,ml_low_confidence:0.4684
2026-06-14T21:50:17.762070+00:00,ENTER_NO,0.4684,1.0344,0.0034,0.002707,583,1,0.0121,ml_low_confidence:0.4684
2026-06-14T21:50:18.700193+00:00,ENTER_NO,0.4684,1.0351,0.0035,0.001559,582,1,0.1481,ml_low_confidence:0.4684
2026-06-14T21:50:18.701985+00:00,ENTER_NO,0.4684,1.0658,0.0066,0.004632,582,1,0.0043,ml_low_confidence:0.4684
2026-06-14T21:50:18.754950+00:00,ENTER_NO,0.4684,1.0376,0.0038,0.002256,582,1,0.0117,ml_low_confidence:0.4684
2026-06-14T21:50:19.699672+00:00,ENTER_NO,0.4684,1.035,0.0035,0.001543,581,1,0.0355,ml_low_confidence:0.4684
2026-06-14T21:50:19.701454+00:00,ENTER_NO,0.4684,1.0376,0.0038,0.002256,581,1,0.0599,ml_low_confidence:0.4684
2026-06-14T21:50:19.703164+00:00,ENTER_NO,0.4684,1.0316,0.0032,0.002422,581,1,0.0373,ml_low_confidence:0.4684
2026-06-14T21:50:19.704646+00:00,ENTER_NO,0.4684,1.0623,0.0062,0.004283,581,1,0.0077,ml_low_confidence:0.4684
2026-06-14T21:50:20.699378+00:00,ENTER_NO,0.4684,1.0673,0.0067,0.004783,580,1,0.0043,ml_low_confidence:0.4684
2026-06-14T21:50:21.699901+00:00,ENTER_NO,0.4684,1.0376,0.0038,0.002256,579,1,0.0599,ml_low_confidence:0.4684
2026-06-14T21:50:21.701639+00:00,ENTER_NO,0.4684,1.0387,0.0039,0.003134,579,1,0.0488,ml_low_confidence:0.4684
2026-06-14T21:50:21.704250+00:00,ENTER_NO,0.4684,1.0351,0.0035,0.001559,579,1,0.0355,ml_low_confidence:0.4684
2026-06-14T21:50:21.706555+00:00,ENTER_NO,0.4684,1.0708,0.0071,0.005127,579,1,0.0064,ml_low_confidence:0.4684
2026-06-14T21:50:22.699940+00:00,ENTER_NO,0.4684,1.0351,0.0035,0.001559,578,1,0.0355,ml_low_confidence:0.4684
2026-06-14T21:50:22.701689+00:00,ENTER_NO,0.4684,1.0376,0.0038,0.002256,578,1,0.0476,ml_low_confidence:0.4684
2026-06-14T21:50:22.865854+00:00,ENTER_NO,0.4684,1.0676,0.0068,0.004807,578,1,0.0064,ml_low_confidence:0.4684
2026-06-14T21:50:22.973470+00:00,ENTER_NO,0.4684,1.0387,0.0039,0.003134,578,1,0.0364,ml_low_confidence:0.4684
2026-06-14T21:50:23.701150+00:00,ENTER_NO,0.4684,1.0373,0.0037,0.002992,577,1,0.0364,ml_low_confidence:0.4684
2026-06-14T21:50:23.703044+00:00,ENTER_NO,0.4684,1.0347,0.0035,0.00151,577,1,0.1091,ml_low_confidence:0.4684
2026-06-14T21:50:23.705176+00:00,ENTER_NO,0.4684,1.0656,0.0066,0.004615,577,1,0.0183,ml_low_confidence:0.4684
2026-06-14T21:50:23.759399+00:00,ENTER_NO,0.4684,1.0365,0.0036,0.002143,577,1,0.0476,ml_low_confidence:0.4684
2026-06-14T21:50:24.704416+00:00,ENTER_NO,0.4684,1.0376,0.0038,0.002256,576,1,0.0476,ml_low_confidence:0.4684
2026-06-14T21:50:24.706905+00:00,ENTER_NO,0.4684,1.0347,0.0035,0.00151,576,1,0.0976,ml_low_confidence:0.4684
2026-06-14T21:50:24.710071+00:00,ENTER_NO,0.4684,1.0373,0.0037,0.002992,576,1,0.0241,ml_low_confidence:0.4684
2026-06-14T21:50:24.712324+00:00,ENTER_NO,0.4684,1.0679,0.0068,0.004836,576,1,0.0097,ml_low_confidence:0.4684
2026-06-14T21:50:25.700121+00:00,ENTER_NO,0.4684,1.0376,0.0038,0.002256,575,1,0.0476,ml_low_confidence:0.4684
2026-06-14T21:50:25.701996+00:00,ENTER_NO,0.4684,1.043,0.0043,0.003562,575,1,0.0351,ml_low_confidence:0.4684
2026-06-14T21:50:25.703969+00:00,ENTER_NO,0.4684,1.0742,0.0074,0.00547,575,1,0.0095,ml_low_confidence:0.4684
2026-06-14T21:50:25.705735+00:00,ENTER_NO,0.4684,1.0364,0.0036,0.001689,575,1,0.1205,ml_low_confidence:0.4684
2026-06-14T21:50:26.700556+00:00,ENTER_NO,0.4684,1.0736,0.0074,0.005406,574,1,0.0063,ml_low_confidence:0.4684
2026-06-14T21:50:26.702503+00:00,ENTER_NO,0.4684,1.0369,0.0037,0.001738,574,1,0.1078,ml_low_confidence:0.4684
2026-06-14T21:50:26.704053+00:00,ENTER_NO,0.4684,1.043,0.0043,0.003562,574,1,0.0116,ml_low_confidence:0.4684
2026-06-14T21:50:26.705467+00:00,ENTER_NO,0.4684,1.0376,0.0038,0.002256,574,1,0.0355,ml_low_confidence:0.4684
2026-06-14T21:50:27.701846+00:00,ENTER_NO,0.4684,1.043,0.0043,0.003562,573,1,0.0233,ml_low_confidence:0.4684
2026-06-14T21:50:27.705887+00:00,ENTER_NO,0.4684,1.0721,0.0072,0.005255,573,1,0.0053,ml_low_confidence:0.4684
2026-06-14T21:50:27.709306+00:00,ENTER_NO,0.4684,1.0379,0.0038,0.001835,573,1,0.0828,ml_low_confidence:0.4684
2026-06-14T21:50:27.711364+00:00,ENTER_NO,0.4684,1.0387,0.0039,0.002369,573,1,0.0471,ml_low_confidence:0.4684
2026-06-14T21:50:28.699381+00:00,ENTER_NO,0.4684,1.0379,0.0038,0.001835,572,1,0.1078,ml_low_confidence:0.4684
2026-06-14T21:50:28.702927+00:00,ENTER_NO,0.4684,1.0708,0.0071,0.005132,572,1,0.0106,ml_low_confidence:0.4684
2026-06-14T21:50:28.871862+00:00,ENTER_NO,0.4684,1.043,0.0043,0.003562,572,1,0.0116,ml_low_confidence:0.4684
2026-06-14T21:50:28.975178+00:00,ENTER_NO,0.4684,1.0387,0.0039,0.002369,572,1,0.0351,ml_low_confidence:0.4684
