"type","Status","Amount_In_Dollars","Original_Date","Traded_Time","Last_Updated","Deposit_Type","Fee_In_Dollars","Market_Title","Market_Ticker","Market_Id","Filled","Remaining","Direction","Order_Type","Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","Result","Profit_In_Dollars","Credit_Reason","Credit_Type","Introducing_Broker"
"Order","Canceled","","2026-06-17T08:31:41.428Z","","","","","","KXBTC15M-26JUN170445-45","40c1e2d6-823f-47f1-93e7-71adeefd2af4","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-06-17T08:31:40.537Z","","","","","","KXHYPE15M-26JUN170445-45","69105cb1-b803-4e7c-a860-22bc0515a36d","5","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:40.429Z","","","","","","KXBTC15M-26JUN170445-45","40c1e2d6-823f-47f1-93e7-71adeefd2af4","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:40.427Z","","","","","","KXXRP15M-26JUN170445-45","6d200f2d-faeb-4f83-9537-2770bffab75d","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:39.434Z","","","","","","KXBTC15M-26JUN170445-45","40c1e2d6-823f-47f1-93e7-71adeefd2af4","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:39.433Z","","","","","","KXXRP15M-26JUN170445-45","6d200f2d-faeb-4f83-9537-2770bffab75d","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-06-17T08:31:39.430Z","","","","","","KXHYPE15M-26JUN170445-45","69105cb1-b803-4e7c-a860-22bc0515a36d","5","0","","","","","","","","","","","",""
"Trade","","5","2026-06-17T08:31:39.430Z","4:31am EDT","","","0.07","","KXHYPE15M-26JUN170445-45","69105cb1-b803-4e7c-a860-22bc0515a36d","","","Yes","Taker","34","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:38.427Z","","","","","","KXBTC15M-26JUN170445-45","40c1e2d6-823f-47f1-93e7-71adeefd2af4","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:37.436Z","","","","","","KXBTC15M-26JUN170445-45","40c1e2d6-823f-47f1-93e7-71adeefd2af4","0","0","","","","","","","","","","","",""
